ReviewID,SentenceID,Text,OpinionTarget,Category,Polarity,From,To
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:0,OXO Tower Restaurant,,,,,
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:1,Have long wanted to visit this restaurant but came away somewhat disappointed,restaurant,RESTAURANT#GENERAL,negative,31,41
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:2,"The positives are location and in general the service, with one exception",location,LOCATION#GENERAL,positive,18,26
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:2,"The positives are location and in general the service, with one exception",service,SERVICE#GENERAL,positive,46,53
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:3,Directly overlooking the Thames this would be a magical location in Summer or at night as the city lights took over,location,LOCATION#GENERAL,positive,56,64
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:4,Very good location for the National Theatre as it is only 400 meters walk along the river,location,LOCATION#GENERAL,positive,10,18
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:5,Less positive about the food,food,FOOD#QUALITY,negative,24,28
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:6,The chestnut soup was really good as was the langoustine starter,chestnut soup,FOOD#QUALITY,positive,4,17
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:6,The chestnut soup was really good as was the langoustine starter,langoustine starter,FOOD#QUALITY,positive,45,64
d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0,d680501-g186338-UID_2069FDC1AB8797BF77F40C541B350543-REW0:7,"The pork rib eye was a big piece of meat that was fairly tough, it would have been dramatically better if it was slow cooked",pork rib eye,FOOD#QUALITY,negative,4,16
