ENTITY_ID,ENTITY_LOCATION_ID,ENTITY_LOCATION_NAME,ENTITY_NAME,ENTITY_TYPE,REVIEW_BODY,REVIEW_DATE,REVIEW_RATING_FOOD,REVIEW_RATING_GLOBAL,REVIEW_RATING_SERVICE,REVIEW_RATING_VALUE,REVIEW_TITLE,USER_ID,USER_LOCATION,USER_NAME
d680501,g186338,London,"Oxo Tower Restaurant, Bar and Brasserie",Restaurant,"Have long wanted to visit this restaurant but came away somewhat disappointed. The positives are location and in general the service,with one exception. Directly overlooking the Thames this would be a magical location in Summer or at night as the city lights took over. Very good location for the National Theatre as it is only 400 meters walk along the river. Less positive about the food. The chestnut soup was really good as was the langoustine starter. The pork rib eye was a big piece of meat that was fairly tough, it would have been dramatically better if it was slow cooked. As it was served with some mashed potato and fennel pickle this reminded me of meals in Bavaria in the 1980's. Not good. Overall the meal and drinks were expensive and did not really deliver good value for the price paid.Negative. I watched waiter who was setting up a table blow something from the side plate to get rid of it. Not really what you want to see. This certainly clouded my overall experience.",Date of visit: January 2018,3,3,4,3,OXO Tower Restaurant,UID_2069FDC1AB8797BF77F40C541B350543,"Munich, Germany",grwpl
d680501,g186338,London,"Oxo Tower Restaurant, Bar and Brasserie",Restaurant,"Celebrating Birthdays,Retirement and an Anniversary-Staff wonderful,Fantastic setting-Food and Drink excellent-will return",,-1,5,-1,-1,Sept 2011,UID_208D1FF8BC4CF66CC786FD665F0E14B1,"London, United Kingdom",barbaraa639
d680501,g186338,London,"Oxo Tower Restaurant, Bar and Brasserie",Restaurant,"We ate in the Restaurant rather than the Brasserie for a change and weren't disappointed however, this is, as you would expect, one of those restaurant where less is more (apart from the constant supply of bread to fill you up!) The wine list is good, but not the best value but you are also paying for the view of the London skyline (although it was terrible weather therefore the view wasn't that great unfortunately). It's a bit too canteeny for our liking but we were glad we visited. This may not be a ringing endorsement but it's not far from. As is often the case, trying to catch the waiter's eye in order to get the bill want an easy task, it took ages...",Date of visit: October 2014,4,4,4,4,Enjoyable!,UID_240E859B55300F2B30C5B0EB6032F57C,"London, United Kingdom",RichardOldfield
d680501,g186338,London,"Oxo Tower Restaurant, Bar and Brasserie",Restaurant,"After my latest visit I want to down-rate this place! 4 of us went to the restaurant last night and we all came away very underwhelmed after parting with £400...even after they took £40 off the bill.Our evening was such that I would suggest that people think long and hard and look at the prices before booking the restaurant and think about the brasserie as a possible alternative, or somewhere else. We has been to Skylon for drinks just before and wished we had stayed for dinner!!!I don't mind spending the money when I think it is worth it. Unfortunately last night was not and it has put me off the place. Brief rundown...Langoustines... £16...5 small pieces (size of 5 prawns!)...Lobster Tempura...£20...in fairness this was amazing with a lot of lobster.Scallops...£22.5...3 scallops, cooked well...but 3!Pot roast cod...£24.5...cod was perfect. However, the onion compote was more like SAUERKRAUT...and was vile and spoiled the dish. They took this off the bill...our waitress said that it was not ordered very much!Monkfish...£27.5...nothing to write home about.Venison...£29.5...this was very good and decent portionFries were not on the menu but we asked for some and they did oblige and they were very good...brownie points for this.Unfortunately in no way did the good make up for the bad!Finally, the view is amazing but you pay for it. OXO no longer have a monopoly on such views....e.g. Skylon, Paramount etc.",Date of visit: November 2011,2,2,4,2,I felt ripped off on the night...and still do so day after!,UID_278678ADC65A8C6216A850E4763BF3D7,"London, United Kingdom",rkjlondon
d680501,g186338,London,"Oxo Tower Restaurant, Bar and Brasserie",Restaurant,"Restaurant or brasserie? Restaurant (fine dining) will be circa £60 for food alone (3 courses), Brasserie circa £30. The fantastic view is the same so it depends on your reson for going...dinner for 2, group dinner, business etc. I tend to go for the brasserie for v.f.m.My tips: 1. visit the website: http://www.harveynichols.com/restaurants/oxo-tower-london2. Try and get a table close to the window for the best view (or on the terrace if the weather is good enough).",Date of visit: October 2011,4,4,4,4,Fantastic view...good food...research before you book!,UID_278678ADC65A8C6216A850E4763BF3D7,"London, United Kingdom",rkjlondon
d680501,g186338,London,"Oxo Tower Restaurant, Bar and Brasserie",Restaurant,So I had prebooked tables to accommodate 30 people for a work function on a Friday afternoon.The Brasserie is a busy restaurant with super river views.Usually I am always disappointed when we try and cater for this number of people. On this occasion the restaurant did a great job.We had a menu of 3 courses with a choice from four dishes each course.All of the food that came out was of excellent quality and nicely presented.Wine choices were excellent and the staff throughout were brilliant.The prices were very reasonable also.It well overachieved my expectation. I’m actually not sure how they could improve on this performance. Very impressed.,Date of visit: June 2019,-1,5,-1,-1,Impressed,UID_A9378C8192E0C605939EF2BA25200181,"London, United Kingdom",Epicureously
d680501,g186338,London,"Oxo Tower Restaurant, Bar and Brasserie",Restaurant,"You don't go to the Oxo Tower Brasserie for a quiet meal in relaxing surroundings. This is a restaurant with a buzz - open plan kitchen, lots of action, tables which are close together, high ceilings and not one thing in the place to deaden the noise and chatter. Despite all this we loved it. It makes a change sometimes to go somewhere where there is such an atmosphere and not eat in a restaurant where you feel you cannot talk above a whisper. The choice on the menu and the meals served were very good whilst the service was excellent - attentive, friendly and not rushed. The biggest plus however for this restaurant is the view of the Thames - fantastic (which probably reflects in the slightly high cost of the meal) but worth noting that not all the tables have a great view. However, we would be so happy to return again, especially in better weather where you could sit outside on the terrace.",Date of visit: October 2014,4,4,4,4,Very enjoyable lunch,UID_B376ACF8ECBDD3C28C776E642012D9C5,uk,holidaysabroad100
d680501,g186338,London,"Oxo Tower Restaurant, Bar and Brasserie",Restaurant,"I have not dined here in many a year, but the room and the view will always impress.The welcome was as cold as the December dour day outside , a drowning in the the Thames would have been more inviting! Happily the wait staff and, the wonderful sommelier brought a touch of Christmas cheer.The langoustine start was incredible as was the crab, mains of lamb and pork were slightly more heavy handed, no one likes un-rendered fat!Puddings were a joy, the soufflé was terrific.Very enjoyable lunch , with some good food and nice people providing the service but at this price point they really need more staff on the floor.I will certainly be returning again and with a few tweaks it would be a more regular experience.",Date of visit: December 2019,-1,3,-1,-1,Noughts and crosses,UID_FFA89DFEF3C6BF554AF9CD37AA9D1A1A,"Harrow, United Kingdom",aprilsbhoy
d680501,g186338,London,"Oxo Tower Restaurant, Bar and Brasserie",Restaurant,"And the food is ok, nothing to write home about, Skylon has an equally good view and is better and better value",,3,3,3,3,It's location location location,UID_4418848C0132A92D49B45E4A7D0725C1,"Abergavenny, United Kingdom",Toqiz
d680501,g186338,London,"Oxo Tower Restaurant, Bar and Brasserie",Restaurant,A visit that was going wrong as a result of poor service was turned on its head by the manager when I told her of our issues with our server. A poor experience was turned into a good one. Great views from the terrace. Extensive drinks list. Prices top end but worth it for the view and the atmosphere.,Date of visit: June 2016,-1,4,-1,-1,Manager saved the day,UID_3673B9FBA46A6B4697FDA1CFEA07991E,"Reading, United Kingdom",ChampionsLeague
